Tweets,Urls
"The worlds first holi on metaverse event will take place on yug metaverse. People from all over the world can enjoy playing holi, the festival of color, with their friends and loved ones. The event takes place on march 18 and 19 on yug metaverse in india. ",https://www.exchange4media.com/digital-news/yug-metaverse-is-conducting-worlds-first-holi-on-metaverse-119117.html
The currency markets continue to trade sideways this week. Bitcoin and ethereum manage to hold support. Highstreet is a metaverse crypto coin and game featuring a unique virtual world built using unity. ,https://thevrsoldier.com/top-3-metaverse-crypto-coins-with-a-market-cap-below-60-million-march-2022/
"Art auctioned on liveart and art dream fund distributed $100,000 to 13 emerging artists. Apenft hosted the open-call exhibition ""second lives"" on cryptovoxels earlier this year. The metaverse will continue to evolve in the years to come. ",https://www.marketscreener.com/quote/stock/ARTNET-AG-9069063/news/artnet-What-s-the-Future-of-Art-in-the-Metaverse-Two-Crypto-Art-Experts-Lay-Out-Their-Visions-39797481/
"Heineken created a virtual brewery in the metaverse. Guests were allowed inside the virtual reality brewery. The virtual beer can be brewed from horizontal tanks. A party upstairs involved virtual lobster, edible gold, and virtual lobster. ",https://www.the-sun.com/tech/4918965/metaverse-drinking-beer-heineken/
"Animoca brands, the pioneer in the field of blockchain gaming, has welcomed hsbc into the digital world of its sandbox. The deal could set a precedent for top financial services companies to embrace the concept of web3. ",https://smallcaps.com.au/animoca-brands-the-sandbox-welcomes-hsbc-blockchain-metaverse/
"Tata tea premium is the first in the world to celebrate the colorful festival of holi on a futuristic tech virtual platform. To increase the excitement the celebration also features a special festive performance by music sensation, composer and lyricist duo sachet-parampara. ",https://www.media4growth.com/ooh-news/tata-tea-premium-celebrates-holi-party-in-metaverse-6099
"Do your homework to find out what new cryptos are available to give you that long term potential investment. Seesaw protocol is a new cryptocurrency, that is an force to be reckoned with. As the crypto moves toward the end of its pre sale phase 2, it could be the next crypto king to rival the sandbox, sand, and uniform. ",ali
"Accenture has created a new unit to help businesses navigate the metaverse. It will be led by paul daugherty, group chief executive of technology and cto at accenture, and david droga, ceo and accenture defines a metaverse continuum as a spectrum of digitally enhanced worlds, realities and business models. ",ali
Takeshi is an agoraphobic vampire who is as afraid of fresh air as of the electricity of human contact. ,https://tinyurl.com/y8z5ul5n
A new crypto custody platform aims to target smes looking to enter the metaverse economy. Unido ep is the latest offering from blockchain company unido and ceo has expressed that it is the perfect timing. ,https://tinyurl.com/y772vgey
